name,x1,x2,y1,y2,classname
1842.jpg,530,30,794,378,balaclava_ski_mask
2033.jpg,202,316,429,593,balaclava_ski_mask
2068.jpg,210,124,2054,2599,balaclava_ski_mask
2125.png,721,138,933,436,balaclava_ski_mask
2125.png,1083,178,1237,381,balaclava_ski_mask
2125.png,587,252,713,365,balaclava_ski_mask
2125.png,937,179,1047,378,balaclava_ski_mask
2200.png,362,4,692,407,balaclava_ski_mask
2208.png,91,161,330,458,balaclava_ski_mask
2209.png,376,22,514,267,balaclava_ski_mask
2242.png,261,8,543,408,balaclava_ski_mask
2256.png,387,138,443,215,balaclava_ski_mask
2273.png,201,43,400,319,balaclava_ski_mask
2307.png,129,1,397,311,balaclava_ski_mask
2308.png,61,54,591,446,balaclava_ski_mask
2319.png,328,5,626,336,balaclava_ski_mask
2343.png,246,0,873,667,balaclava_ski_mask
2364.png,169,5,626,626,balaclava_ski_mask
2378.png,217,59,392,264,balaclava_ski_mask
2379.png,404,4,639,241,balaclava_ski_mask
2447.png,80,33,349,424,balaclava_ski_mask
2449.png,248,89,390,292,balaclava_ski_mask
2450.png,271,122,422,291,balaclava_ski_mask
2461.png,467,0,947,654,balaclava_ski_mask
2517.png,139,58,329,347,balaclava_ski_mask
2518.png,229,70,306,199,balaclava_ski_mask
2519.png,3,103,320,560,balaclava_ski_mask
2528.png,598,145,683,271,balaclava_ski_mask
2571.png,134,15,380,331,balaclava_ski_mask
2582.png,397,3,534,210,balaclava_ski_mask
2609.png,226,104,428,426,balaclava_ski_mask
2611.png,127,10,539,663,balaclava_ski_mask
2632.png,154,0,383,307,balaclava_ski_mask
2633.png,319,56,463,323,balaclava_ski_mask
2644.png,436,36,571,233,balaclava_ski_mask
2697.png,130,145,319,449,balaclava_ski_mask
2698.png,192,5,487,376,balaclava_ski_mask
2699.png,281,62,483,437,balaclava_ski_mask
2711.png,698,43,859,210,balaclava_ski_mask
2757.png,264,41,551,441,balaclava_ski_mask
2758.png,254,13,416,228,balaclava_ski_mask
2804.png,184,32,527,532,balaclava_ski_mask
2821.png,135,24,256,229,balaclava_ski_mask
2822.png,124,52,296,283,balaclava_ski_mask
2823.png,181,53,404,398,balaclava_ski_mask
2862.png,251,8,603,487,balaclava_ski_mask
2887.png,197,4,278,126,balaclava_ski_mask
2888.png,325,69,402,170,balaclava_ski_mask
2932.png,247,10,391,238,balaclava_ski_mask
2957.png,141,6,440,408,balaclava_ski_mask
2958.png,289,8,453,254,balaclava_ski_mask
2959.png,304,143,559,472,balaclava_ski_mask
3028.png,114,43,326,395,balaclava_ski_mask
3029.png,178,7,523,583,balaclava_ski_mask
3088.png,127,6,320,289,balaclava_ski_mask
3089.png,219,91,501,505,balaclava_ski_mask
3090.png,99,3,464,529,balaclava_ski_mask
3146.png,44,14,202,239,balaclava_ski_mask
3146.png,339,123,488,318,balaclava_ski_mask
3147.png,145,110,235,261,balaclava_ski_mask
3147.png,403,101,485,216,balaclava_ski_mask
3148.png,96,21,434,570,balaclava_ski_mask
3199.png,60,47,358,465,balaclava_ski_mask
3200.png,226,81,434,364,balaclava_ski_mask
3201.png,317,126,403,235,balaclava_ski_mask
3258.png,84,0,500,574,balaclava_ski_mask
3259.png,243,114,336,202,balaclava_ski_mask
3317.png,112,35,348,460,balaclava_ski_mask
3318.png,322,64,384,156,balaclava_ski_mask
3320.png,199,18,339,256,balaclava_ski_mask
3374.png,231,40,350,241,balaclava_ski_mask
3375.png,85,31,238,246,balaclava_ski_mask
3393.png,151,39,377,462,balaclava_ski_mask
1806.jpg,546,216,611,252,eyeglasses
1810.jpg,915,264,949,290,eyeglasses
1810.jpg,646,217,691,246,eyeglasses
1812.jpg,636,78,679,107,eyeglasses
1830.jpg,295,314,491,395,eyeglasses
1831.jpg,358,408,745,522,eyeglasses
1835.jpg,648,126,729,160,eyeglasses
1847.jpg,328,135,375,159,eyeglasses
1850.jpg,283,297,474,385,eyeglasses
1851.jpg,394,214,524,271,eyeglasses
1853.jpg,335,195,468,278,eyeglasses
1872.jpg,1117,144,1226,216,eyeglasses
1874.jpg,1098,1858,1993,2225,eyeglasses
1895.jpg,157,126,233,160,eyeglasses
